stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
142426,6790019-1,Palmi,58.426327,24.42601,142426,,Pärnu linn,,6476297.20,524889.45,,Pärnu MV
26489,7801055-1,Vana-Linnavere,58.33341709,26.7174227,26489,,Kambja vald,"Tartu suunas",6469094.02,659141.03,,Tartu MV
131678,7801251-1,Kalmumäe,58.54741911,26.66982769,131678,,Tartu vald,"Kukulinna suunas",6492798.50,655406.75,,Tartu MV
136432,499044-1,Kuningamäe tee,58.68069912,25.90675772,136432,,Põltsamaa vald,,6506122.00,610582.00,,Jõgeva ÜTK
131708,4400939-1,Viivikonna,59.33740275,27.68646955,131708,,Narva-Jõesuu linn,"",6583464.43,709698.95,,Ida-Viru MV
131709,4400940-1,Kaevurite,59.33833814,27.69446275,131709,,Narva-Jõesuu linn,"Sillamäe suunas",6583593.50,710147.43,,Ida-Viru MV
4483,23115-1,Järvesuu,59.40402405,24.79212999,4483,,Rae vald,,6585388.05,544993.05,Harju2,Harjumaa ÜTK
134178,6500899-1,Beresje tee,58.07509045,27.56447793,134178,,Setomaa vald,"Võõpsu suunas",6442685.50,710234.37,,Võru MV
12156,28104-1,Kodasoo küla,59.44602411,25.27303934,12156,,Kuusalu vald,,6590486.70,572217.29,Harju3,Harjumaa ÜTK
131720,7801252-1,Tiirike,58.21138406,26.4970287,131720,,Nõo vald,"Pangodi, Kääni suunas",6455010.00,646746.12,,Tartu MV
24871,7820085-1,Kesklinn V,58.37745946,26.72763631,24871,,Tartu linn,"Kaubamaja küljel",6474019.59,659539.42,TartuLinn,Tartu LV
131758,7800508-1,Matto,58.49404184,26.35934141,131758,,Tartu vald,"Puurmani suunas",6486179.50,637550.81,,Tartu MV
131764,6703034-1,Pihla,58.286327,24.605558,131764,,Tahkuranna vald,,6460785.57,535519.99,,Pärnu MV
131765,7000657-1,Jaagumardi,59.19260966,24.70391015,131765,,Kohila vald,,6561782.00,540229.50,Rapla2,Rapla MV
131766,6703035-1,Pihla,58.287351,24.604267,131766,,Tahkuranna vald,,6460898.94,535443.24,,Pärnu MV
9339,23349-1,Kullaliiva,59.22630206,24.59639662,9339,,Saue vald,,6565475.50,534051.75,Harju3,Harjumaa ÜTK
122651,6500208-1,Korela,57.8864425,27.72420272,122651,,Setomaa vald,"Kolossova suunas",6422218.50,720811.50,,Võru MV
21253,8400532-1,Mäe,58.36029856,25.64522658,21253,,Viljandi vald,"Väluste suunas",6470045.00,596293.04,ViljandiLinn,Viljandi MV
21254,8401087-1,Viiratsi,58.35857945,25.63928355,21254,,Viljandi vald,"Väluste tee suunas",6469845.07,595949.95,ViljandiLinn,Viljandi MV
21255,8401088-1,Viiratsi,58.35859128,25.63866294,21255,,Viiratsi alevik,"Mustla mnt suunas",6469845.50,595913.60,ViljandiLinn,Viljandi MV
29270,7800693-1,Poolemõisa,58.26806523,26.36578679,29270,,Elva vald,"Elva suunas",6461039.50,638813.93,,Tartu MV
131818,6703037-1,Vanakooli,58.262822,24.674173,131818,,Surju vald,,6458206.17,539570.90,,Pärnu MV
131819,6703036-1,Vanakooli,58.26279919,24.67310081,131819,,Saarde vald,,6458203.00,539508.00,,Pärnu MV
147557,6790046-1,Sauna,58.63066208,24.33306108,147557,,Põhja-Pärnumaa vald,,6499025.00,519346.00,,Pärnu MV
129719,22171-1,Liiva,59.17658794,25.14500141,129719,,Kose vald,,6560344.93,565467.00,Harju4,Harjumaa ÜTK
5226,21458-1,Laasi tee,59.28241341,25.25430679,5226,,Raasiku vald,,6572243.28,571495.55,Harju3,Harjumaa ÜTK
26488,7801054-1,Vana-Linnavere,58.33371714,26.71703847,26488,,Kambja vald,"Ülenurme, Roiu suunas",6469126.50,659117.18,,Tartu MV
141854,8490046-1,Kabelimäe,58.14394471,25.78522731,141854,,Viljandi vald,"Kärstna suunas",6446166.10,605126.50,,Viljandi MV
26379,7820198-1,Rahumäe,58.37863342,26.77050604,26379,,Tartu linn,"Kalda tee suunas",6474253.00,662040.06,TartuLinn,Tartu LV
128403,22341-1,Alansi,59.125528,25.140444,128403,,Kose vald,,6554653.54,565303.14,Harju4,Harjumaa ÜTK
143178,16513-1,Kuuskivi,59.45076875,24.89705801,143178,,Lasnamäe,,6590670.21,550882.99,Harju1,Tallinna TA
137073,7801286-1,Laari,58.20034578,26.45279797,137073,,Nõo vald,"Etsaste suunas",6453685.50,644192.87,,Tartu MV
127679,41017-1,Raasiku põhikool,59.36820415,25.18440352,127679,,Raasiku vald,,6581726.50,567342.75,Harju3,Harjumaa ÜTK
21358,5100479-1,Sargvere,58.89115,25.71377,21358,,Paide linn,,6529253.18,598793.46,tartu1,Järvamaa ÜTK
131964,8490015-1,Männiku,58.53620234,25.48006957,131964,,Suure-Jaani linn,"Suure-Jaani suunas",6489407.00,586196.00,,Viljandi MV
131963,8490014-1,Männiku,58.5361405,25.47998109,131963,,Suure-Jaani linn,"Olustvere suunas",6489400.00,586191.00,,Viljandi MV
38044,,Riia lennujaam,56.923413,23.97948099,38044,Riia,,,6308817.75,498749.97,,MKM
30470,5900041-1,Arkna teemeister,59.4027,26.3679,30470,,Haljala vald,,6587348.72,634477.32,Viru1,Lääne-Viru MV
14854,13413-1,Lennujaam,59.41610501,24.79832682,14854,Airport,Lasnamäe,,6586738.00,545329.00,Harju1,Tallinna TA
